Date,CET Time,Raw Time,Latitude,Longitude,Altitude,Sats,Sat Speed,Precision,Category,lol
 61120,13:29:31,12293100,0.000000,0.000000,0.00,3,0.0000,13.41,2,
 61120,13:30:25,12302500,0.000000,0.000000,0.00,3,0.0000,14.34,4,
 61120,15:44:01,14440100,48.230904,16.373520,215.70,5,1.2408,2.55,1,
 61120,15:46:51,14465100,48.229884,16.371082,186.20,5,5.6116,2.44,1,
 61120,15:47:38,14473800,48.229634,16.370667,189.40,5,2.8336,2.42,3,
 61120,15:48:45,14484500,48.229494,16.369711,202.60,5,0.6297,2.38,1,
 61120,15:50:21,14502100,48.228965,16.368893,214.10,5,0.5741,2.33,3,
 61120,15:53:29,14532900,48.229083,16.368969,188.80,5,1.5927,2.24,4,
 61120,15:54:52,14545200,48.229537,16.369913,182.70,5,1.0186,2.20,1,
 61120,15:55:32,14553200,48.229674,16.370348,193.80,5,3.9077,2.19,1,
 61120,15:58:59,14585900,48.229118,16.370892,195.50,4,0.8704,4.42,4,
 61120,15:59:40,14594000,48.229042,16.370844,195.40,5,0.6112,4.28,3,
 61120,16:00:51,15005100,48.229347,16.371676,190.80,5,0.2037,2.09,1,
 61120,16:02:33,15023300,48.229406,16.371234,135.70,5,0.6297,2.07,4,
 61120,16:03:15,15031500,48.229986,16.371497,155.70,5,0.6297,2.06,1,
 61120,16:04:49,15044900,48.230597,16.373124,188.60,5,0.3148,2.04,1,
 61120,16:06:17,15061700,48.229262,16.373779,181.10,4,7.2043,3.31,4,
 61120,16:07:18,15071800,48.230475,16.373299,182.40,5,3.6299,2.02,5,
 61120,16:08:14,15081400,48.230642,16.373630,182.90,4,0.2222,3.14,4,
 61120,16:09:02,15090200,48.230742,16.374137,174.70,5,0.9260,2.86,1,
 61120,16:10:57,15105700,48.230563,16.375514,178.10,6,3.2780,2.01,1,
 61120,16:14:07,15140700,48.231079,16.374826,182.10,6,1.5557,1.55,4,
 61120,16:14:56,15145600,48.231735,16.374679,176.90,4,4.0559,2.64,1,
 61120,16:15:17,15151700,48.231858,16.374661,176.90,4,0.6112,2.64,4,
 61120,16:16:04,15160400,48.232173,16.374737,173.80,4,1.2223,2.62,2,
