Date;CET Time;Raw Time;Latitude;Longitude;Altitude;Sats;Sat Speed;Precision
61120;15:42:26;14422600;48.231.325;16.373.732;178.00;5;22.409;Feb.62
61120;15:42:31;14423100;48.231.356;16.373.740;174.50;5;0.5000;Feb.61
61120;15:42:36;14423600;48.231.421;16.373.773;172.80;5;33.706;Feb.61
61120;15:42:41;14424100;48.231.450;16.373.781;172.20;5;28.336;Feb.61
61120;15:42:46;14424600;48.231.477;16.373.781;172.50;5;33.892;Feb.60
61120;15:42:51;14425100;48.231.429;16.373.760;172.30;5;22.780;Feb.60
61120;15:42:56;14425600;48.231.195;16.373.705;177.60;5;37.225;Feb.60
61120;15:43:01;14430100;48.231.015;16.373.694;180.30;5;68.154;Feb.59
61120;15:43:06;14430600;48.230.927;16.373.727;186.50;5;38.336;Feb.59
61120;15:43:11;14431100;48.230.905;16.373.775;184.50;5;24.817;Feb.59
61120;15:43:16;14431600;48.230.789;16.373.766;183.20;5;54.264;Feb.58
61120;15:43:21;14432100;48.230.691;16.373.754;185.70;5;74.450;Feb.58
61120;15:43:46;14434600;48.230.929;16.373.603;198.10;5;29.817;Feb.56
61120;15:43:51;14435100;48.230.944;16.373.553;206.60;5;0.4445;Feb.56
61120;15:43:56;14435600;48.230.901;16.373.521;212.20;5;24.076;Feb.55
61120;15:44:01;14440100;48.230.904;16.373.520;215.70;5;12.408;Feb.55
61120;15:44:06;14440600;48.230.898;16.373.495;215.50;5;0.3889;Feb.55
61120;15:44:11;14441100;48.230.856;16.373.448;212.50;5;11.853;Feb.54
61120;15:44:16;14441600;48.230.805;16.373.421;211.10;5;13.705;Feb.54
61120;15:44:21;14442100;48.230.725;16.373.383;210.50;5;35.929;Feb.54
61120;15:44:26;14442600;48.230.694;16.373.312;208.10;5;29.632;Feb.53
61120;15:44:31;14443100;48.230.626;16.373.217;206.70;5;48.337;Feb.53
61120;15:44:36;14443600;48.230.639;16.373.161;204.50;5;16.298;Feb.53
61120;15:44:41;14444100;48.230.500;16.373.057;202.50;5;52.412;Feb.52
61120;15:44:46;14444600;48.230.415;16.372.962;200.10;5;45.374;Feb.52
61120;15:44:51;14445100;48.230.418;16.372.923;198.90;5;0.4630;Feb.52
61120;15:44:56;14445600;48.230.337;16.372.832;199.10;5;17.964;Feb.52
61120;15:45:01;14450100;48.230.240;16.372.768;198.50;5;0.5741;Feb.51
61120;15:45:06;14450600;48.230.212;16.372.675;196.80;5;29.076;Feb.51
61120;15:45:11;14451100;48.230.254;16.372.647;194.90;5;18.150;Feb.51
61120;15:45:16;14451600;48.230.253;16.372.621;193.00;5;0.2408;Feb.50
61120;15:45:21;14452100;48.230.214;16.372.600;192.50;5;19.076;Feb.50
61120;15:45:26;14452600;48.230.189;16.372.585;189.50;5;12.964;Feb.50
61120;15:45:31;14453100;48.230.092;16.372.559;185.60;5;37.040;Feb.49
61120;15:45:36;14453600;48.229.933;16.372.475;179.90;5;63.524;Feb.49
61120;15:45:56;14455600;48.229.804;16.372.084;166.00;5;17.594;Feb.48
61120;15:46:01;14460100;48.229.861;16.372.010;167.60;5;17.594;Feb.47
61120;15:46:06;14460600;48.229.827;16.371.956;166.00;5;17.594;Feb.47
61120;15:46:11;14461100;48.230.003;16.371.848;163.90;5;42.781;Feb.47
61120;15:46:16;14461600;48.230.162;16.371.603;172.80;5;42.781;Feb.46
